CocState,CoC,Coc\ID,HudNum,year,Organization ID,Organization Name,Project ID,Project Name,Project Type,Bed Type,Geo Code,Inventory Type,Target Population A,Target Population B,address1,city,state,zip,Beds HH w/ Children,Units HH w/ Children,HMIS Beds HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,HMIS Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,HMIS Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Total Beds,Updated On,notes,projectNotes
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,94300,Father's Heart Warming Center,ES,F,419005,C,SMF+HC,NA,603 12TH ST,OREGON CITY,OR,97045,0,0,0,,,,0,0,,,,0,0,,0,,,,,49,4/25/18 18:10,The warming shelters are open on nights when the weather is predicted to be 32 degrees or lower. The warming shelters were not open on the night of the Point-in-Time Count.,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,6580,HOPE Leasing,PSH,,419005,C,SMF,NA,,,OR,97045,0,0,0,0,0,0,15,15,0,0,12,0,0,0,15,,,,,15,4/19/18 20:14,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,43951,HOPE Leasing SHP II,PSH,,419005,C,SMF+HC,NA,,,OR,97222,14,3,14,2,0,2,1,1,1,0,0,0,0,0,15,,,,,15,4/19/18 20:21,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,101419,Housing Our Heroes,PSH,,419005,C,SMF+HC,NA,,,OR,97086,6,2,6,6,0,3,16,16,16,0,16,,,,22,,,,,22,4/19/18 20:27,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,6160,Jackson Place,TH,,419005,C,SMF,NA,601 JACKSON ST # 611,OREGON CITY,OR,97045,0,0,0,0,0,,6,6,0,0,,0,0,,6,,,,,6,4/18/18 18:01,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,94297,Molalla Warming Center,ES,F,419005,C,SMF+HC,NA,209 KENNEL AVE,MOLALLA,OR,97038,0,0,0,,,,0,0,,,,0,0,,0,,,,,16,4/25/18 18:14,The warming shelters are open on nights when the weather is predicted to be 32 degrees or lower. The warming shelters were not open on the night of the Point-in-Time Count.,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,94302,Rent Well RRH,RRH,,419005,C,HC,NA,,,OR,97222,13,5,13,0,0,,0,0,0,0,,0,0,,13,,,,,13,4/19/18 20:30,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,104877,Veterans Rental Assistance Program,PSH,,419005,C,SMF+HC,NA,,,OR,97222,4,2,4,4,0,2,28,28,28,0,15,,,,32,,,,,32,4/25/18 15:18,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,101420,Veterans RRH,RRH,,419005,C,SMF+HC,NA,,,OR,97222,16,4,16,16,0,,11,11,11,0,,0,0,,27,,,,,27,4/18/18 17:31,,
OR,Clackamas County CoC,1285,OR-507,2018,3328,Housing Authority of Clackamas County,43960,HACC VASH,PSH,,419005,C,SMF+HC,NA,,,OR,97086,6,4,6,6,0,0,45,45,45,0,0,0,0,,51,,,,,51,4/12/18 17:06,,
OR,Clackamas County CoC,1285,OR-507,2018,3328,Housing Authority of Clackamas County,25126,Shelter + Care,PSH,,419005,C,SMF+HC,NA,,,OR,97267,14,5,14,0,0,2,33,33,0,0,4,0,0,,47,,,,,47,4/12/18 17:12,,
OR,Clackamas County CoC,1285,OR-507,2018,7058,The Inn Home,1262,Avalon,PSH,,419005,C,SFHC,NA,15023 SE LAURIE AVE,MILWAUKIE,OR,97267,7,3,7,0,4,7,3,3,0,0,3,0,0,,10,,,,,10,4/17/18 13:24,,
OR,Clackamas County CoC,1285,OR-507,2018,7058,The Inn Home,61045,HomeSafe,TH,,419005,C,HC,NA,,,OR,97267,20,9,20,0,20,,0,0,0,0,,0,0,,20,,,,,20,4/5/18 17:41,,
OR,Clackamas County CoC,1285,OR-507,2018,7058,The Inn Home,13690,Springwater,TH,,419005,C,YMF,NA,8050 SE ROOTS RD,MILWAUKIE,OR,97267,0,0,0,,0,,7,7,0,7,,0,0,,7,,,,,7,4/5/18 17:43,Some of the youth are served with ESG funds prior to entering the Springwater Transitional Program. Once they enter the Springwater Transitional Program the beds convert to transitional beds. This program model was chosen due to the very transitional nature of the homeless youth in our community.,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,1243,Catholic Community Services,4439,CCS - Motel Vouchers [SHAP] SPRINGFIELD,ES,V,411290,C,SMF+HC,NA,1025 G Street,Springfield,OR,97477,,,,,,,,,,,,,,,0,6,6,11/1/17 0:00,3/31/18 0:00,6,4/12/18 22:14,This project  is one of the seasonal winter strategies.,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,1243,Catholic Community Services,85132,McKenzie RRH,RRH,,411290,C,HC,NA,1025 G Street,Springfield,OR,97477,48,13,48,0,0,,0,0,0,0,,0,0,,48,,,,,48,4/12/18 22:13,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,30776,Eugene Mission,85104,Family Program,ES,F,410426,C,SFHC,NA,1542 W 1ST AVE,EUGENE,OR,97402,18,7,18,0,0,,0,0,0,0,,0,0,,18,0,0,,,18,4/12/18 15:58,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,30776,Eugene Mission,85108,Men's Life Change Program,ES,F,410426,C,SM,NA,1542 W 1ST AVE,EUGENE,OR,97402,0,0,0,0,0,,15,15,0,0,,0,0,,15,0,0,,,15,4/12/18 15:59,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,30776,Eugene Mission,85105,Men's Program,ES,F,410426,C,SM,NA,1542 W 1ST AVE,EUGENE,OR,97402,0,0,0,0,0,,230,230,0,0,,0,0,,230,0,0,,,230,4/12/18 17:46,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,30776,Eugene Mission,85110,Women's Life Change Program,ES,F,410426,C,SF,NA,1542 W 1ST AVE,EUGENE,OR,97402,0,0,0,0,0,,7,7,0,0,,0,0,,7,0,0,,,7,4/12/18 16:00,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,30776,Eugene Mission,85106,Women's Program,ES,F,410426,C,SF,NA,1542 W 1ST AVE,EUGENE,OR,97402,0,0,0,0,0,,55,55,0,0,,0,0,,55,0,0,,,55,4/12/18 22:16,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,38939,First Place Family Center,101473,Dusk to Dawn for Families,ES,F,410426,C,HC,NA,1995 AMAZON PARKWAY CT,EUGENE,OR,97405,0,0,0,0,0,,0,0,0,0,,0,0,,0,30,30,11/1/17 0:00,3/31/18 0:00,30,4/12/18 17:50,Winter Strategy Project.,Faith-based church floor barrack-style accommodations
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,38939,First Place Family Center,101474,Faith-based Shelter,ES,O,410426,C,HC,NA,1995 AMAZON PARKWAY CT,EUGENE,OR,97405,0,0,0,0,0,,0,0,0,0,,0,0,,0,25,25,9/17/17 0:00,6/22/18 0:00,25,4/13/18 14:39,Other beds = church floor program- barrack style,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,8761,Homes for Good,31679,HUD-VASH,PSH,,419039,C,SMF+HC,NA,177 DAY ISLAND RD,EUGENE,OR,97401,50,13,50,50,0,0,231,231,231,0,0,0,0,0,281,,,,,281,7/13/18 14:07,Inventory: 236  total HUD-VASH units,Permanent Housing Section 8 program
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,8761,Homes for Good,111484,Madrone,PSH,,419039,C,SMF+HC,NA,177 DAY ISLAND RD,Eugene,OR,97401,30,9,30,0,0,30,35,35,0,0,35,0,0,0,65,,,,,65,4/12/18 21:58,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,8761,Homes for Good,22456,Shelter Plus Care CoC,PSH,,419039,C,SMF+HC,NA,177 DAY ISLAND RD,EUGENE,OR,97401,40,12,40,0,0,0,50,50,0,0,28,0,0,,90,,,,,90,4/12/18 18:43,12 family units 45 single units,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,38478,Lane County,111481,WFS - Employment & Housing Navigation,RRH,,410426,N,SMF+HC,NA,151 W 7TH AVE,Eugene,OR,97401,0,0,0,0,0,,2,2,0,0,,0,0,,2,,,,,2,4/12/18 22:09,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,4115,Looking Glass,85169,EHA RRH,RRH,,410426,C,SMF+HC,NA,1790 W 11th Ave,Eugene,OR,97402,4,2,4,0,0,,3,3,0,0,,0,0,,7,,,,,7,4/12/18 22:15,,Youth under 22 yrs old
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,4115,Looking Glass,85170,McKenzie RRH,RRH,,410426,C,SMF+HC,NA,1790 W 11th Ave,Eugene,OR,97402,6,2,6,0,6,,2,2,0,2,,0,0,,8,,,,,8,4/12/18 22:15,,Youth under 22 yrs
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,4115,Looking Glass,11427,Station 7,ES,F,410426,C,YMF,NA,1790 W 11th Ave,EUGENE,OR,97402,0,0,0,0,0,,0,0,0,0,,12,12,,12,0,0,,,12,4/12/18 22:15,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,4115,Looking Glass,98656,Transitional Living Program,TH,,410426,C,SMF,NA,931 W 7TH AVE,EUGENE,OR,97402,0,0,0,0,0,,10,10,0,10,,0,0,,10,,,,,10,4/12/18 22:31,,Deposits and case management
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,9164,Mainstream Inc.,23951,Emerald Options,PSH,,419039,C,SMF+HC,NA,325 A ST,SPRINGFIELD,OR,97477,15,5,15,0,0,0,16,16,0,0,0,0,0,0,31,,,,,31,4/12/18 18:58,14 households with 35 individuals,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,111466,Bridge Housing [SHAP] ES,ES,F,410426,N,SMF,NA,99 W 4TH AVE,Eugene,OR,97401,0,0,0,0,0,,4,4,0,0,,0,0,,4,,,,,4,4/12/18 16:07,,Administrative office
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,98613,CAHOOTS Crisit Units,ES,F,410426,C,SMF+HC,NA,780 HIGHWAY 99 N,EUGENE,OR,97402,3,1,2,0,0,,1,1,0,0,,0,0,,4,0,0,,,4,4/12/18 16:07,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,85812,Camas,PSH,,410426,C,SMF,NA,499 W 4TH AVE,EUGENE,OR,97401,6,2,6,0,0,6,12,12,0,0,12,0,0,0,18,,,,,18,4/12/18 19:00,,Medically fragile
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,59393,Cascade RRH,RRH,,411290,C,SMF,NA,499 W 4TH AVE,EUGENE,OR,97401,0,0,0,0,0,,12,12,0,0,,0,0,,12,,,,,12,4/12/18 22:12,10 households; 12 individuals,Homeless persons discharged from hospital who still need limited medical care
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,29021,Family Housing Program ES (EHA),ES,F,410426,C,HC,NA,969 HIGHWAY 99 N,EUGENE,OR,97402,13,4,13,0,0,,0,0,0,0,,0,0,,13,0,0,,,13,4/12/18 16:08,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,102862,FUSE RRH,RRH,,410426,C,SMF,NA,151 W 7TH AVE,EUGENE,OR,97401,0,0,0,0,0,,9,9,0,0,,0,0,,9,,,,,9,4/12/18 20:13,8 households; 9 individuals,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,57615,Indigent LC Cx50940,TH,,410426,C,SMF,NA,969 HIGHWAY 99 N,EUGENE,OR,97402,0,0,0,0,0,,1,1,0,0,,0,0,,1,,,,,1,4/12/18 17:54,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,85172,McKenzie RRH,RRH,,410426,C,HC,NA,969 HIGHWAY 99 N,EUGENE,OR,97402,47,14,47,0,0,,0,0,0,0,,0,0,,47,,,,,47,4/12/18 20:15,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,111467,Phoenix Transitional Shelter,ES,F,410426,U,SMF,NA,499 W 4TH AVE,Eugene,OR,97401,0,0,,0,0,,6,,0,0,,0,,,6,,,,,6,4/12/18 16:13,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,24399,Shankle Safe Haven (Scattered Site),PSH,,411290,C,SMF,NA,1545 Brooklyn Street,Springfield,OR,97477,0,0,0,0,0,,12,12,0,0,12,0,0,,12,,,,,12,4/12/18 20:21,"12 Units, 13 individuals",
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,10525,Shankle Safe Haven CoC,PSH,,411290,C,SMF,NA,1062 MAIN ST,SPRINGFIELD,OR,97477,0,0,0,0,0,0,16,16,0,0,16,0,0,0,16,,,,,16,4/12/18 21:05,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,57626,ShelterCare Medical Recuperation,ES,F,410426,C,SMF,NA,969 HIGHWAY 99 N,EUGENE,OR,97402,0,0,0,0,0,,19,19,0,0,,0,0,,19,0,0,,,19,4/12/18 16:09,,Medically fragile homeless persons discharged from hospital with acute illness
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,111482,Strengthening Preserving & Reunifying Families,RRH,,410426,C,HC,NA,151 W 7th Ave,Eugene,OR,97401,3,1,3,0,0,,0,0,0,0,,0,0,,3,,,,,3,4/12/18 22:10,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6179,ShelterCare,111485,Supported Housing,PSH,,410426,C,SMF,NA,499 W 4TH AVE,Eugene,OR,97401,0,0,0,0,0,0,15,15,0,0,15,0,0,0,15,,,,,15,4/12/18 22:11,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6198,Siuslaw Outreach Services,101475,SOS - SHAP-New17- Motel Vouchers,ES,V,419039,C,SMF+HC,NA,1576 12TH ST,FLORENCE,OR,97439,0,0,0,0,0,,0,0,0,0,,0,0,,0,3,3,11/1/17 0:00,3/31/18 0:00,3,4/12/18 17:49,Winter Strategy. No participants on the night 01/31/2018,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6469,Sponsors,21970,GPD Homeless Veterans,TH,,410426,C,SM,NA,338 HIGHWAY 99 N,EUGENE,OR,97402,0,0,0,0,0,,10,10,10,0,,0,0,,10,,,,,10,4/12/18 18:07,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,85813,1st Place Family,PSH,,410426,C,HC,NA,2890 CHAD DR,EUGENE,OR,97408,9,3,9,0,0,9,0,0,0,0,0,0,0,0,9,,,,,9,4/12/18 20:30,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,25011,Connections CoC,TH,,410426,C,HC,NA,2890 CHAD DR,EUGENE,OR,97408,63,21,63,0,0,,0,0,0,0,,0,0,,63,,,,,63,4/12/18 18:05,,All Sites
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,85173,ESG RRH for Families,RRH,,410426,C,HC,NA,1995 AMAZON PARKWAY CT,EUGENE,OR,97405,31,9,31,0,0,,0,0,0,0,,0,0,,31,,,,,31,4/12/18 20:38,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,85174,ESG RRH for Singles,RRH,,410426,C,SMF,NA,450 HIGHWAY 99 N,EUGENE,OR,97402,0,0,0,0,0,,7,7,0,0,,0,0,,7,,,,,7,4/12/18 20:40,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,24608,GPD VET LIFT AVC-GPD,TH,,410426,C,SMF,NA,2890 CHAD DR,EUGENE,OR,97408,0,0,0,0,0,,12,12,12,0,,0,0,,12,,,,,12,4/12/18 18:07,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,33004,Housing PLUS (Lamb Bldg OHA),PSH,,419039,C,SMF,HIV,2890 CHAD DR,EUGENE,OR,97408,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,,,,,3,4/12/18 20:45,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,84653,Housing PLUS (Lamb Bldg SPON),PSH,,410426,C,SMF,NA,2890 CHAD DR,EUGENE,OR,97408,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,,,,,2,4/12/18 20:47,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,25014,LIFT CoC,PSH,,419039,C,SMF+HC,NA,2890 CHAD DR,EUGENE,OR,97408,25,10,25,0,0,0,8,8,0,0,6,0,0,0,33,,,,,33,4/12/18 20:53,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,111483,Strengthening Preserving & Reunifying Families,RRH,,410426,C,HC,NA,151 W 7th Ave,Eugene,OR,97401,5,2,5,0,0,,0,0,0,0,,0,0,,5,,,,,5,4/12/18 22:11,,
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,59400,Supportive Services for Veteran Families SSVF-RRH,RRH,,410426,C,SMF+HC,NA,2890 CHAD DR,EUGENE,OR,97408,6,2,6,6,0,,25,25,25,0,,0,0,,31,,,,,31,7/13/18 14:08,,SSVF = Supportive Services for Veteran Families -
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,29205,VET LIFT (ES),ES,F,410426,C,SMF,NA,2890 CHAD DR,EUGENE,OR,97408,0,0,0,,,,4,4,4,0,,0,0,,4,0,0,,,4,4/12/18 17:27,,6 month program
OR,"Eugene, Springfield/Lane County CoC",991,OR-500,2018,6510,St. Vincent De Paul,24607,VET LIFT CoC,PSH,,410426,C,SMF,NA,951 W 7TH AVE,EUGENE,OR,97402,0,0,0,0,0,0,19,19,18,0,19,0,0,0,19,,,,,19,4/12/18 21:12,,
OR,"Hillsboro, Beaverton/Washington County CoC",1008,OR-506,2018,16476,Boys and Girls Aid,38061,SafePlace Youth Shelter,ES,F,410636,C,YMF,NA,454 SE WASHINGTON ST,HILLSBORO,OR,97123,0,0,0,0,0,,3,3,0,3,,2,2,,5,4,4,11/1/17 0:00,3/31/18 0:00,9,4/10/18 17:27,5 year-round beds and 4 seasonal beds.,"Opened March 2007.  Provides 24/7 emergency shelter year-around, and overflow beds during severe weather."
